"RecordedDate","LocationLatitude","LocationLongitude","UserLanguage","occ","occ_3_TEXT","Q52_Page_Submit","Q53_Page_Submit","mani_1","mani_2","mani_3","quit_1","quit_2","quit_3","finsit_1","finsit_2","year_1","month_1","found","coown","indu","indu_7_TEXT","locat","age_1","gender","edu","edu_6_TEXT","exp_cond","year","month","t1timebuiss","ID"
2021-05-03,"51.309295654296875","0.37030029296875","EN",1,"",NA,NA,2,2,1,1,1,1,4,5,10,2,1,2,1,"",185,24,2,4,"",1,2012,"Feb",3379,33
2021-05-03,"51.497100830078125","-0.1226043701171875","EN",2,"",NA,NA,4,5,5,2,3,2,4,4,3,11,1,2,1,"",185,9,2,4,"",2,2019,"Nov",549,34
2021-05-03,"54.9001007080078125","-1.4210968017578125","EN",1,"",NA,NA,3,5,5,4,4,5,2,5,2,2,1,1,4,"",185,11,2,4,"",2,2020,"Feb",457,35
2021-05-03,"50.3679962158203125","-4.132904052734375","EN",1,"",NA,NA,1,1,1,1,1,1,1,1,12,4,1,1,1,"",185,41,2,4,"",1,2010,"Apr",4050,36
2021-05-03,"48.195098876953125","16.348297119140625","EN",1,"",NA,NA,5,5,5,4,3,2,1,2,21,7,1,1,7,"Language services",10,32,2,4,"",2,2001,"Jul",7246,37
2021-05-03,"51.0883026123046875","-2.5641937255859375","EN",2,"",NA,NA,5,5,5,2,4,2,2,5,6,11,1,1,3,"",185,48,1,4,"",2,2016,"Nov",1644,38
2021-05-03,"53.2498016357421875","-0.511505126953125","EN",1,"",NA,NA,5,5,5,5,4,4,2,4,11,5,1,1,4,"",185,48,2,4,"",2,2011,"May",3655,39
2021-05-03,"51.553802490234375","-0.3101959228515625","EN",2,"",NA,NA,5,5,5,5,4,4,2,3,5,12,1,1,7,"Marketing",185,14,2,4,"",2,2017,"Dec",1249,40
2021-05-03,"51.454193115234375","-1.9806060791015625","EN",1,"",NA,NA,5,5,5,3,2,2,3,5,23,10,1,1,2,"",185,35,2,3,"",2,1999,"Oct",7885,41
2021-05-03,"51.9474029541015625","0.1356048583984375","EN",1,"",NA,NA,2,1,1,1,1,1,2,4,25,9,1,1,7,"Arts",185,44,2,4,"",1,1997,"Sep",8645,42
2021-05-03,"51.864593505859375","-4.263397216796875","EN",2,"",NA,NA,1,1,1,1,1,1,1,2,21,1,1,1,5,"",185,47,1,2,"",1,2001,"Jan",7427,43
2021-05-03,"51.410797119140625","-0.6753997802734375","EN",1,"",NA,NA,5,5,5,2,2,2,2,2,5,7,1,2,2,"",185,32,2,3,"",2,2017,"Jul",1402,44
2021-05-03,"52.9452972412109375","-1.49530029296875","EN",1,"",NA,NA,5,5,5,1,1,1,4,4,3,4,1,1,2,"",185,25,1,4,"",2,2019,"Apr",763,45
2021-05-03,"52.0113067626953125","-3.794097900390625","EN",2,"",NA,NA,5,5,5,2,3,3,4,4,7,4,1,1,1,"",185,20,1,4,"",2,2015,"Apr",2224,46
2021-05-03,"51.8166961669921875","-0.814605712890625","EN",1,"",NA,NA,3,1,1,1,1,1,1,1,2,4,1,1,7,"Craft",185,44,2,2,"",1,2020,"Apr",397,47
2021-05-03,"50.92059326171875","-3.5850067138671875","EN",1,"",NA,NA,5,5,5,3,4,2,4,5,28,7,1,1,7,"hand made, textile design",185,43,2,2,"",2,1994,"Jul",9803,48
2021-05-03,"52.5352935791015625","13.42449951171875","EN",1,"",NA,22.22,4,4,4,2,3,3,4,3,3,3,1,1,1,"",2,3,2,3,"",2,2019,"Mar",794,49
2021-05-05,"53.3820037841796875","-2.2541961669921875","EN",2,"",20.816,NA,4,1,1,2,2,1,2,2,3,1,1,1,4,"",185,15,2,2,"",1,2019,"Jan",855,50
2021-05-05,"51.3925933837890625","1.40460205078125","EN",2,"",NA,26.763,4,5,5,4,2,1,2,4,2,4,1,1,7,"Fitness influencer and online coach",185,3,2,2,"",2,2020,"Apr",399,51
2021-05-05,"51.514495849609375","0.0706024169921875","EN",1,"",NA,41.856,5,5,5,2,4,2,2,1,5,5,1,2,2,"",185,22,1,4,"",2,2017,"May",1465,53
2021-05-05,"53.460601806640625","-2.2572021484375","EN",2,"",NA,21.116,5,5,5,4,3,3,3,5,3,1,1,1,7,"Events",185,16,1,4,"",2,2019,"Jan",855,54
2021-05-05,"52.7563934326171875","-2.07269287109375","EN",2,"",NA,23.334,5,5,5,4,4,4,5,5,8,7,1,1,7,"Entertainment",185,27,2,5,"",2,2014,"Jul",2500,55
2021-05-05,"51.653900146484375","-0.08880615234375","EN",2,"",NA,21.996,5,5,5,4,4,4,2,4,4,5,1,1,4,"",185,4,2,4,"",2,2018,"May",1100,56
2021-05-05,"53.2563934326171875","-0.0626983642578125","EN",1,"",35.498,NA,2,1,1,1,1,1,4,5,7,7,1,1,4,"",185,25,1,6,"Trade training",1,2015,"Jul",2135,57
2021-05-05,"50.8450927734375","-0.938995361328125","EN",1,"",23.561,NA,3,1,2,1,1,1,4,4,7,6,1,1,1,"",185,4,2,4,"",1,2015,"Jun",2165,58
2021-05-05,"53.8195037841796875","-1.6060028076171875","EN",1,"",NA,21.726,5,5,5,4,4,4,5,5,3,10,1,1,1,"",185,8,2,2,"",2,2019,"Oct",582,60
2021-05-05,"52.6493988037109375","-1.12030029296875","EN",1,"",21.187,NA,1,1,1,1,1,1,4,4,4,9,1,2,1,"",185,15,1,4,"",1,2018,"Sep",977,62
2021-05-05,"53.8119049072265625","-3.0225982666015625","EN",1,"",21.575,NA,4,2,2,1,1,1,4,4,4,1,1,2,4,"",185,14,2,4,"",1,2018,"Jan",1220,63
2021-05-05,"52.6280975341796875","1.28619384765625","EN",1,"",21.91,NA,4,1,1,2,2,2,2,2,5,8,1,1,3,"",185,22,2,4,"",1,2017,"Aug",1373,64
2021-05-05,"51.5518035888671875","-0.1345062255859375","EN",2,"",NA,26.812,5,5,5,5,4,4,1,2,5,9,1,1,3,"",185,13,2,4,"",2,2017,"Sep",1342,65
2021-05-05,"51.45660400390625","-0.9680023193359375","EN",1,"",NA,118.454,5,5,5,1,4,2,3,5,4,12,1,1,7,"Teaching",185,30,1,3,"",2,2018,"Dec",886,66
2021-05-05,"51.400299072265625","0.5290985107421875","EN",1,"",21.122,NA,2,1,1,1,1,1,2,1,35,10,1,2,7,"Engineering",185,42,2,3,"",1,1987,"Oct",12270,67
2021-05-05,"54.640106201171875","-1.2335968017578125","EN",1,"",NA,21.952,5,5,5,2,4,2,4,5,8,3,1,1,7,"art",185,36,2,2,"",2,2014,"Mar",2622,68
2021-05-05,"51.579193115234375","0.0240936279296875","EN",2,"",24.754,NA,3,1,1,1,2,2,4,3,12,8,1,2,7,"Fashion",185,8,1,4,"",1,2010,"Aug",3930,69
2021-05-05,"52.193206787109375","0.1425933837890625","EN",2,"",26.375,NA,1,1,1,1,3,2,2,2,3,6,1,2,4,"",185,9,1,5,"",1,2019,"Jun",704,70
2021-05-05,"53.4579925537109375","-6.2178955078125","EN",2,"",24.199,NA,2,1,1,1,1,1,5,5,5,6,1,2,1,"",82,26,1,4,"",1,2017,"Jun",1434,71
2021-05-05,"51.49639892578125","-0.122406005859375","EN",2,"",NA,23.058,5,4,4,4,4,4,2,4,7,4,1,2,4,"",185,19,1,4,"",2,2015,"Apr",2226,72
2021-05-05,"54.885894775390625","-2.914794921875","EN",1,"",NA,42.63,3,4,4,3,2,2,1,2,5,7,1,1,7,"Legal",185,18,2,5,"",2,2017,"Jul",1404,73
2021-05-05,"52.6260986328125","1.30340576171875","EN",1,"",34.013,NA,2,1,1,1,1,1,4,5,23,8,1,1,2,"",185,36,1,3,"",1,1999,"Aug",7948,74
2021-05-05,"51.49639892578125","-0.122406005859375","EN",1,"",29.008,NA,1,1,1,1,1,1,4,4,7,4,1,1,7,"3D Content Creator",185,38,2,2,"",1,2015,"Apr",2226,75
2021-05-05,"51.5758056640625","-0.4248046875","EN",2,"",NA,24.157,4,5,5,2,4,2,4,4,2,5,1,1,7,"cosmetic",185,1,2,2,"",2,2020,"May",369,76
2021-05-05,"52.976898193359375","-0.398895263671875","EN",1,"",21.041,NA,5,1,1,1,1,1,1,1,7,10,1,1,1,"",185,18,2,4,"",1,2015,"Oct",2043,77
2021-05-05,"51.387298583984375","-0.15960693359375","EN",1,"",NA,33.182,5,4,5,2,4,4,2,4,11,10,1,2,4,"",185,41,2,4,"",2,2011,"Oct",3504,78
2021-05-05,"52.4145050048828125","-1.7841033935546875","EN",2,"",32.162,NA,2,1,1,2,2,2,4,4,8,1,1,2,4,"",185,20,1,2,"",1,2014,"Jan",2681,79
2021-05-05,"52.5673980712890625","-2.033294677734375","EN",1,"",22.165,NA,3,1,1,1,1,1,1,5,5,12,1,1,7,"Hospitality events & catering",185,28,2,4,"",1,2017,"Dec",1251,80
2021-05-05,"53.957305908203125","-1.0836944580078125","EN",2,"",NA,31.144,5,5,5,4,2,4,3,3,9,7,1,1,3,"",185,44,2,5,"",2,2013,"Jul",2865,81
2021-05-05,"51.49639892578125","-0.122406005859375","EN",2,"",NA,30.752,3,5,5,1,3,2,1,1,20,10,1,1,2,"",185,22,2,4,"",2,2002,"Oct",6791,82
2021-05-05,"52.9875030517578125","-2.1802978515625","EN",1,"",30.84,NA,2,1,1,1,1,1,3,2,2,11,1,2,7,"Design",185,12,1,3,"",1,2020,"Nov",185,83
2021-05-05,"45.3972930908203125","-75.68830108642578125","EN",2,"",21.601,NA,2,1,1,1,1,2,1,1,7,5,1,2,5,"",31,17,1,5,"",1,2015,"May",2196,84
2021-05-05,"51.4770965576171875","-2.5531005859375","EN",2,"",NA,34.185,5,4,5,2,2,2,5,2,1,4,1,1,4,"",185,12,2,4,"",2,2021,"Apr",34,85
2021-05-05,"51.49639892578125","-0.122406005859375","EN",2,"",51.78,NA,1,1,1,1,1,1,4,3,2,4,1,1,5,"",185,6,1,4,"",1,2020,"Apr",399,86
2021-05-05,"51.7118072509765625","-0.4676055908203125","EN",1,"",23.847,NA,2,1,1,1,1,1,4,5,2,7,1,1,7,"Photography",185,14,2,4,"",1,2020,"Jul",308,87
2021-05-05,"52.159698486328125","-0.4990997314453125","EN",2,"",NA,25.975,5,5,5,4,4,5,2,4,7,5,1,1,7,"Social Media and PR",185,17,2,4,"",2,2015,"May",2196,88
2021-05-05,"55.002105712890625","-1.628692626953125","EN",1,"",NA,22.714,5,4,4,5,3,3,2,3,3,3,1,1,4,"",185,19,1,4,"",2,2019,"Mar",796,89
2021-05-05,"55.83929443359375","-4.2891998291015625","EN",1,"",20.719,NA,2,2,2,2,1,1,3,2,2,7,1,1,3,"",185,7,2,4,"",1,2020,"Jul",308,90
2021-05-05,"51.6551971435546875","-0.3878936767578125","EN",2,"",24.522,NA,4,1,1,1,1,2,4,4,3,1,1,1,7," Arts",185,9,1,4,"",1,2019,"Jan",855,91
2021-05-05,"55.066192626953125","-1.5554046630859375","EN",1,"",22.059,NA,1,1,1,1,1,1,3,1,8,11,1,1,7,"Psychotherapy",185,47,2,5,"",1,2014,"Nov",2377,92
2021-05-05,"51.358001708984375","-0.8520965576171875","EN",1,"",NA,22.89,5,5,5,4,4,3,3,1,12,4,1,2,4,"",185,30,2,2,"",2,2010,"Apr",4052,93
