"T1ID","T1occ","T1occ_3_TEXT","T1finstrain_1","T1finstrain_2","T1finstrain_3","T1quitint_1","T1quitint_2","T1quitint_3","T1concom_1","T1concom_2","T1concom_3","T1affcom_1","T1affcom_2","T1affcom_3","T1employees","T1coown","T1indu","T1indu_7_TEXT","T1locat","T1age_1","T1gender","T1lang","T1lang_2_TEXT","T1edu","T1edu_6_TEXT","T1PROLIFIC_PID","ID","T1timebuiss","T2occ","T2occ_3_TEXT","T2quit","T2quitfinstrain","T2quitfinstrain_3_TEXT","T2currententre","T2finstrain_1","T2finstrain_2","T2finstrain_3","T2quitint_1","T2quitint_2","T2quitint_3","T2concom_1","T2concom_2","T2concom_3","T2affcom_1","T2affcom_2","T2affcom_3"
"5e33cd65334b21391ea61205",2,"",4,2,4,2,1,1,1,5,4,5,5,4,2,1,7,"Jewellery",185,43,2,1,"",5,"","5e33cd65334b21391ea61205",51,3226,2,"",1,NA,"",NA,4,4,4,4,2,2,1,4,5,2,4,2
"60be5cb81de91fc787d3c59c",2,"",4,1,1,2,1,1,2,2,3,2,3,4,2,2,4,"",185,23,2,1,"",4,"","60be5cb81de91fc787d3c59c",52,182,2,"",1,NA,"",NA,4,2,2,3,2,3,1,1,3,4,5,4
"6028f3b67d97d2265f803f3c",1,"",3,2,3,3,3,3,3,5,5,3,5,3,1,2,7,"food service",185,40,2,1,"",4,"","6028f3b67d97d2265f803f3c",60,4138,1,"",1,NA,"",NA,5,2,2,4,3,3,3,5,5,2,5,3
"5b4915add4c93b00019beed6",1,"",3,2,4,1,3,2,4,4,4,4,5,4,2,2,1,"",185,33,2,1,"",3,"","5b4915add4c93b00019beed6",61,1400,2,"",1,NA,"",NA,4,4,4,2,2,2,4,4,4,4,4,4
"60bb328d08294ea7c26231b2",2,"",3,2,2,1,2,1,2,2,2,4,4,4,2,1,2,"",185,44,2,1,"",4,"","60bb328d08294ea7c26231b2",63,762,2,"",1,NA,"",NA,2,2,2,2,2,2,2,2,2,4,4,4
"605e5fc57ba58c968de8d8ee",1,"",3,3,4,2,2,1,5,5,4,4,5,3,2,1,3,"",185,45,1,2,"Greek",5,"","605e5fc57ba58c968de8d8ee",64,3165,1,"",1,NA,"",NA,4,3,4,2,3,1,5,5,4,4,5,3
"5c7aa97a6b5631001745891f",1,"",3,2,2,2,2,2,2,2,2,4,4,5,2,1,1,"",185,38,2,1,"",4,"","5c7aa97a6b5631001745891f",65,1522,1,"",1,NA,"",NA,2,1,2,1,2,1,2,3,2,5,5,4
"607ea4caa8927b9ec56da4dd",1,"",4,4,4,4,3,3,4,5,4,4,4,3,2,1,7,"Writing services",185,23,2,1,"",2,"","607ea4caa8927b9ec56da4dd",66,457,1,"",1,NA,"",NA,5,3,4,1,1,1,5,5,5,4,5,4
"5f7c9a31d0b9680f0bfa6162",1,"",4,4,4,1,1,1,2,4,3,5,5,5,2,1,7,"Pet services",185,57,2,1,"",4,"","5f7c9a31d0b9680f0bfa6162",69,61,1,"",1,NA,"",NA,5,3,4,1,1,1,2,3,3,5,5,5
"566d549ed408ea00051a2a68",1,"",4,3,3,3,2,1,4,2,4,5,5,4,1,2,1,"",185,37,2,1,"",4,"","566d549ed408ea00051a2a68",70,4383,2,"",1,NA,"",NA,4,3,3,4,4,1,5,2,4,5,5,5
