"T1ID","T1occ","T1occ_3_TEXT","T1finstrain_1","T1finstrain_2","T1finstrain_3","T1quitint_1","T1quitint_2","T1quitint_3","T1concom_1","T1concom_2","T1concom_3","T1affcom_1","T1affcom_2","T1affcom_3","T1employees","T1coown","T1indu","T1indu_7_TEXT","T1locat","T1age_1","T1gender","T1lang","T1lang_2_TEXT","T1edu","T1edu_6_TEXT","T1PROLIFIC_PID","ID","T1timebuiss","T2occ","T2occ_3_TEXT","T2quit","T2quitfinstrain","T2quitfinstrain_3_TEXT","T2currententre","T2finstrain_1","T2finstrain_2","T2finstrain_3","T2quitint_1","T2quitint_2","T2quitint_3","T2concom_1","T2concom_2","T2concom_3","T2affcom_1","T2affcom_2","T2affcom_3"
"57c8f79aa4804100018b5864",1,"",4,1,3,2,1,1,4,2,2,5,4,5,2,1,3,"",185,30,2,1,"",6,"Masters Degree","57c8f79aa4804100018b5864",342,2830,1,"",1,NA,"",NA,5,3,4,1,2,1,4,3,4,4,4,4
"546878f8fdf99b1dac305237",2,"",4,5,5,2,1,1,5,5,5,5,5,4,2,1,1,"",185,54,2,1,"",2,"","546878f8fdf99b1dac305237",345,6270,1,"",1,NA,"",NA,4,4,5,1,1,1,5,5,5,4,5,4
"5e650fec316ae12828fbf5dd",1,"",3,2,2,2,2,2,4,4,4,4,4,5,2,1,2,"",185,27,1,1,"",2,"","5e650fec316ae12828fbf5dd",349,974,1,"",1,NA,"",NA,3,4,4,2,4,3,5,5,4,4,4,3
"607ca741fd54ce0bd3846328",2,"",4,3,4,1,1,1,4,5,5,5,5,5,2,1,4,"",185,28,2,1,"",4,"","607ca741fd54ce0bd3846328",351,151,1,"",1,NA,"",NA,4,2,3,1,1,1,4,3,5,5,5,4
"5eff51c5bfbd094cb6252800",2,"",4,2,4,3,3,1,3,2,5,5,3,4,2,1,7,"Art/Engineering/Photography",185,34,1,1,"",4,"","5eff51c5bfbd094cb6252800",352,2861,2,"",1,NA,"",NA,4,2,3,2,4,4,4,5,5,4,5,3
"5fb23fd48dca1e7c35563adb",2,"",2,1,1,2,2,2,4,5,5,4,5,4,2,1,3,"",185,51,1,1,"",4,"","5fb23fd48dca1e7c35563adb",354,4079,2,"",1,NA,"",NA,4,1,1,2,2,1,2,4,2,4,5,4
"59a734ce0c87a000017481ed",1,"",4,4,5,3,3,3,4,4,4,4,4,3,2,1,7,"[ersonal services",185,32,2,1,"",2,"","59a734ce0c87a000017481ed",356,2131,1,"",1,NA,"",NA,5,5,5,4,3,3,4,4,4,4,3,3
"5eb59589076e4745250148ed",1,"",1,4,4,1,1,1,1,2,1,5,5,5,2,1,7,"Legal support and publishing",185,53,1,1,"",4,"","5eb59589076e4745250148ed",357,1704,1,"",1,NA,"",NA,1,4,4,2,1,1,4,2,3,5,5,4
"60a9e6a82ed02743f75de3cf",1,"",4,1,2,1,4,1,4,3,2,5,5,5,2,1,2,"",185,51,1,1,"",3,"","60a9e6a82ed02743f75de3cf",358,2618,1,"",1,NA,"",NA,4,1,3,1,2,1,3,5,4,5,5,4
"60a4e31672ced8b0729cb841",1,"",5,3,5,1,1,1,3,5,3,5,5,2,2,1,4,"",185,47,2,2,"Vietnamese",4,"","60a4e31672ced8b0729cb841",359,1978,1,"",1,NA,"",NA,5,3,4,1,1,1,5,5,3,3,5,3
"5f6fb3e1e5d748575a2cff99",1,"",3,4,2,3,3,3,2,2,3,3,3,3,2,1,3,"",185,26,2,1,"",4,"","5f6fb3e1e5d748575a2cff99",360,1369,2,"",1,NA,"",NA,2,3,4,3,3,3,3,4,3,3,2,3
"60679e79f2b5308270852ade",2,"",3,4,5,2,1,1,4,4,4,2,3,2,2,1,1,"",185,27,1,1,"",4,"","60679e79f2b5308270852ade",361,1826,2,"",1,NA,"",NA,4,3,5,2,2,1,3,2,4,2,4,2
"5f5b76c81a328c2a9a84f757",1,"",3,2,2,1,2,2,2,1,3,5,5,4,2,2,3,"",185,34,1,1,"",3,"","5f5b76c81a328c2a9a84f757",362,1127,1,"",1,NA,"",NA,4,3,2,1,2,1,2,2,4,4,5,4
"57fb76a8bd8a970001fde35d",2,"",2,2,2,1,1,1,4,5,5,5,5,5,2,1,7,"Professional Services",185,39,2,1,"",4,"","57fb76a8bd8a970001fde35d",363,2527,1,"",1,NA,"",NA,4,4,4,1,2,2,5,5,5,5,5,5
"5a4c334121bfa00001081a4e",1,"",4,1,3,1,1,1,5,5,2,5,5,4,2,1,4,"",185,53,1,1,"",2,"","5a4c334121bfa00001081a4e",368,3653,1,"",1,NA,"",NA,5,4,4,1,1,1,4,5,5,5,5,4
"5c9b3126a586fd00154d5440",2,"",4,1,1,1,1,1,1,1,1,5,5,5,2,1,4,"",185,32,2,2,"German",4,"","5c9b3126a586fd00154d5440",370,1308,2,"",1,NA,"",NA,5,5,5,4,2,1,1,1,1,5,5,5
"5c362f46aa03c3000163e2d9",2,"",5,5,5,4,1,1,1,4,3,3,2,4,2,1,3,"",185,45,2,1,"",6,"PGCE","5c362f46aa03c3000163e2d9",371,1369,2,"",1,NA,"",NA,4,3,3,3,2,2,1,4,5,3,3,3
"607071110917ce608bb3597e",2,"",4,2,2,1,1,1,4,5,4,5,5,4,2,1,7,"Trading",185,53,1,1,"",4,"","607071110917ce608bb3597e",372,3226,2,"",1,NA,"",NA,4,3,4,2,3,3,5,5,4,4,4,2
"5e3b0defeab8663234a735c0",1,"",3,2,2,1,1,1,4,4,4,5,5,5,2,1,5,"",185,58,1,1,"",2,"","5e3b0defeab8663234a735c0",373,1918,1,"",1,NA,"",NA,4,1,1,1,1,1,1,1,1,5,5,5
"5cb1f692ff629100011b05cf",1,"",3,1,3,2,3,3,5,4,4,5,5,5,2,1,7,"hospitality",185,54,2,1,"",2,"","5cb1f692ff629100011b05cf",376,4261,1,"",1,NA,"",NA,3,2,3,2,3,3,3,3,3,4,5,4
"58970e57b32f650001368f94",1,"",4,2,3,3,3,1,5,5,3,5,5,5,2,1,2,"",185,65,2,1,"",2,"","58970e57b32f650001368f94",377,2253,1,"",1,NA,"",NA,4,3,2,1,4,1,5,5,5,5,5,5
